,x,y,z,vx,vy,vz,phi,theta,psi,wx,wy,wz,a1,a2,a3,a4,r
0.0,0.0,0.0,1.0002112241340984,0.0,0.0,0.050693792183580874,0.0,-0.0,0.0,0.0,0.0,0.0,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002,-4.461563482559917e-08
0.1,0.0,0.0,1.0684986527599627,0.0,0.0,1.2627265657244118,0.0,-0.0,0.0,0.0,0.0,0.0,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002,-0.004692065429929945
0.2,0.0,0.0,1.2572136585662406,0.0,0.0,2.4580488959036675,0.0,-0.0,0.0,0.0,0.0,0.0,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002,-0.06615886615303058
0.3,0.0,0.0,1.564106138033169,0.0,0.0,3.6256762734503587,0.0,-0.0,0.0,0.0,0.0,0.0,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002,-0.3182157349666966
0.4,0.0,0.0,1.9858776137765943,0.0,0.0,4.755642394789822,0.0,-0.0,0.0,0.0,0.0,0.0,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002,-0.9719546693458317
0.5,1.9020222050476893e-07,1.9024267887602097e-07,2.518150152877473,3.862527263418145e-05,3.863470898623546e-05,5.817698744953685,-0.0018613005585268708,0.0018619086452694219,0.001210880538062022,-0.2080818275432735,0.20781812713778697,0.15454975596755524,18444.61770059215,21022.217700592148,20163.017700592147,21022.217700592148,-2.304779886681966
0.6,0.0005503176678914417,0.0005706132395642136,3.09235688268483,0.01431955181978286,0.015139823919665944,5.467397933862146,-0.07681247428229215,0.07759602826480669,0.057758209553886136,-1.0753453506804922,0.9701937423482716,0.668363139624817,9440.3,9440.3,9440.3,9440.3,-4.377957952967585
0.7,0.004052635955095095,0.004495942208104009,3.6026525463811376,0.05946174033991538,0.06891679425444891,4.771040467809981,-0.17893409017174491,0.17964612024914345,0.11180267262586681,-1.1124811999467676,0.8930247873929916,0.6763187918607524,9440.3,9440.3,9440.3,9440.3,-6.7738369145387445
0.8,0.013682971834140642,0.016263941589747814,4.044185006137962,0.13427508671455465,0.1702102237922612,4.089442478941485,-0.28187309004934197,0.2792757048242802,0.15688877877310586,-1.137903745209113,0.8149027294764708,0.6950915963032595,9440.3,9440.3,9440.3,9440.3,-9.267514091109431
0.9,0.031973336767200725,0.04066189759886332,4.417805793591658,0.2303528067201961,0.3194726994538607,3.4108423069537404,-0.3867501584120389,0.3756307997465607,0.1940213002439654,-1.1510114882797906,0.7383412546635849,0.7231313974902367,9440.3,9440.3,9440.3,9440.3,-11.684072126889072
1.0,0.060721651981726146,0.08266955025772617,4.723622493498107,0.3449547072110254,0.5267532888136641,2.742630763401152,-0.4866446225735651,0.45934570209752795,0.22384637021552933,-0.7779974497003397,0.34904275223892123,0.5783202930977775,11886.36476543154,9440.3,10167.964765431538,9440.3,-13.875885847644263
1.1,0.10232994141157284,0.1499428369742386,4.965986476475257,0.4799869476836297,0.809736800471161,2.1304087200485617,-0.5311871813857364,0.4649661516736062,0.2239821503777237,-0.23441082832044852,-0.18192797084899187,-0.16910812367793493,11119.75080432363,10117.364593712296,10976.564593712297,9440.3,-15.762003002853803
1.2,0.15702297161703707,0.24571776478713037,5.146982074538714,0.6100280534187813,1.0950341873141958,1.5178471151447215,-0.5583023649976985,0.448665748462336,0.1577175773951333,-0.16662518423306424,-0.23243055619529682,-0.902607038238347,11260.468389208032,10247.870803845866,11107.070803845865,9440.3,-17.282493760092844
1.3,0.22567910826889007,0.37029690601388954,5.2679022951800585,0.7616135931690455,1.3821521144614675,0.9283286227500445,-0.5646002253931155,0.4183304539879719,0.020149086956280794,0.14079515577129517,-0.4347463933549404,-1.7612064138689494,11651.331873048906,10268.881461781555,11128.081461781556,9440.3,-18.403040859715713
1.4,0.31083470456740053,0.5217345288880564,5.330434534657218,0.9378673548706091,1.6266730659168795,0.3494687948310844,-0.5317820299055647,0.351666016135366,-0.17960789657141982,0.1453731314484091,-0.9440603614012648,-2.3763583653729996,11348.366850213673,9553.825806790534,11578.819526702136,9936.560570125275,-19.121488391149427
1.5,0.4156522501528844,0.6959509138790793,5.338906528302817,1.1604698501628592,1.8515196476946325,-0.13020990922580544,-0.5134926291264406,0.23635267586002046,-0.40325617578734674,-0.5037480261914146,-1.2352039680502422,-1.7581512923939528,11354.242829422165,12299.100910815989,11415.540418004472,13907.482336610647,-19.483224328935087
1.6,0.5460377510252513,0.8954217135027672,5.3106073982451045,1.439868389057875,2.144621302200227,-0.386565030654016,-0.528892361363124,0.08592390107261327,-0.5036212878138118,-0.9806690933692302,-1.338204605568804,-0.2861281262695198,13793.710955959596,14739.804705083527,13002.221549511502,15492.927800387573,-19.681273412362373
1.7,0.7031403468579632,1.130823186265475,5.266451030056457,1.6708486362651138,2.568992973101004,-0.4765831119948036,-0.5437800851006488,-0.09764291453836743,-0.45298023779134383,-0.9651498138316517,-1.7769246120017432,1.2635795753582548,14904.252427072603,15763.452427072603,13676.744049202163,16254.344049202165,-19.97577181784494
1.8,0.8734009821225384,1.4153869538533461,5.216228431069292,1.6846075001885703,3.11371955493618,-0.5290511245810884,-0.5540179564138056,-0.3017653176663491,-0.2483468254080346,-0.491355982548363,-1.66422136927887,2.570197681026559,14900.642813599185,16632.433304354126,14054.833304354128,15759.842813599185,-20.54273168766789
1.9,1.0287091795297445,1.7559454367984737,5.159088779131285,1.3739942263336529,3.660312457578147,-0.6112235275092914,-0.5268104773034776,-0.47135354350003544,0.0825390235936582,0.7424985668540196,-1.7607318390476276,4.004641446548224,16642.205304112005,15589.80700073234,16039.87841716186,14473.733887682483,-21.439606425757912
2.0,1.132626056932523,2.142447863521215,5.095992256599095,0.6720120008520336,3.9973198510947956,-0.6243194086878872,-0.35810305244722407,-0.6121017401324522,0.37070050506072294,2.327743855218364,-0.0801604736706296,3.746163036634662,17179.79111674576,17827.04124226066,17179.79111674576,16108.641242260663,-22.65007719886888
2.1,1.1519927149919882,2.5387542332315736,5.042381475856882,-0.24550876313498557,3.8350084681414973,-0.4199716904426094,-0.04932523690815608,-0.6374897959270348,0.5241171023412933,1.8426951816067603,1.5146235853727854,2.574962965207902,18162.419158818775,17641.928790975748,19880.819158818773,17641.928790975748,-24.11320826849671
2.2,1.0886701120726143,2.8928620320063425,5.0159652820840535,-0.9264355125147665,3.234343445141669,-0.12235439238466377,0.20187349475338215,-0.5187243407201845,0.5424066172406369,0.5850325676677572,2.624177634036524,0.7872284575899787,17953.18929010282,17153.884868227302,19384.719057687373,16867.014635811855,-25.681830496048516
2.3,0.9789729370859325,3.1811276986790227,5.017469582497796,-1.1885724910036826,2.5661602695073333,0.12877179549086118,0.3851153190639414,-0.2793779025765967,0.48373095956252093,0.15236318599058532,2.821370523660805,-0.40092228474884384,17176.783710572534,15914.888186136868,17420.023515516397,17050.499497866298,-27.218023293144572
2.4,0.8612567683126408,3.4055409837733195,5.038669601872351,-1.1311324566619787,1.9576996585166295,0.2673614226789978,0.49411523414708863,-0.06702279768556821,0.3878018638459803,-0.010372279708093209,2.010296709954221,-0.9436919710136497,15881.170584315074,15823.583537094706,15977.025270007405,16485.843298349264,-28.650324766211856
2.5,0.7584205675925868,3.571800908004787,5.0673527765387165,-0.9167528023462506,1.3965440306851034,0.28918826230340233,0.5449164092723484,0.09556579297616109,0.2977970630217816,-0.112216023578679,1.4546956987061,-0.7925694179100089,15092.978426778063,15707.119927044601,15229.074946650257,16020.43601563462,-29.876322092588484
2.6,0.6817539419717069,3.683470689221366,5.09376897238113,-0.61757648044752,0.8630339338470171,0.23068228920365713,0.5651569074695122,0.21793183948242353,0.2446591485513426,-0.13654600798599667,1.042381618688676,-0.3109680155259974,14610.05015262296,15610.240067663857,14792.72517513697,15776.020659730766,-30.791689154977345
2.7,0.6384015963043123,3.743070776522937,5.111279830947059,-0.2543243837375718,0.35493549629411714,0.11637015321752878,0.5753512330419883,0.30245305893471847,0.2521410264984948,-0.06086914502238129,0.6584394314395614,0.4305296025169293,14112.637770566318,15675.608519849236,14388.62403132745,15746.554765903606,-31.320757284575997
2.8,0.6346811877523857,3.753684625110915,5.115046156819558,0.17335997611001633,-0.11444263919291348,-0.041206650900149445,0.5914056637427768,0.343521641917883,0.354610759787578,0.12572529165280114,0.22963175098456287,1.4854916867889323,13781.88304034841,15638.175665876963,14074.538830522506,15655.046204993956,-31.426573347636264
2.9,0.677243206222324,3.720750263242031,5.101136568937414,0.6670897884142205,-0.5127074124027764,-0.232443229889605,0.60348126502467,0.31953482102840325,0.5555146328789544,0.22858609541621955,-0.8875304960799797,2.3040188324939037,13615.76108869681,14787.848804547182,13928.648804547181,16193.361088696813,-31.121962038865686
