,x,y,z,vx,vy,vz,phi,theta,psi,wx,wy,wz,a1,a2,a3,a4,r
0.0,0.0,0.0,0.99999964,0.0,0.0,-8.42762e-05,0.0,-0.0,0.0,0.0,0.0,0.0,-0.020629048,-0.020629048,-0.020629048,-0.020629048,-1.2789769243681803e-13
0.1,0.0,0.0,0.9969822,0.0,0.0,-0.054675695,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-9.1070152308248e-06
0.2,0.0,0.0,0.98841304,0.0,0.0,-0.11115863,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.00013425773775921357
0.3,0.0,0.0,0.97288454,0.0,0.0,-0.19368905,0.0,-0.0,0.0,0.0,0.0,0.0,-0.667122,-0.667122,-0.667122,-0.667122,-0.0007352483993514625
0.4,0.0,0.0,0.9494071,0.0,0.0,-0.26510558,0.0,-0.0,0.0,0.0,0.0,0.0,0.60788107,0.60788107,0.60788107,0.60788107,-0.002559641461857609
0.5,0.0,0.0,0.9201763,0.0,0.0,-0.3156864,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.006371818734724144
0.6,0.0,0.0,0.8853795,0.0,0.0,-0.3797413,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.013137860570711979
0.7,0.0,0.0,0.8440339,0.0,0.0,-0.43812242,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.024325425309005055
0.8,0.0,0.0,0.7967237,0.0,0.0,-0.5083005,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.041321244623659936
0.9,0.0,0.0,0.7420303,0.0,0.0,-0.5865333,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.06654835448276586
1.0,0.0,0.0,0.67902315,0.0,0.0,-0.66304857,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.10302614039973435
1.1,0.0,0.0,0.6096169,0.0,0.0,-0.7267341,0.0,-0.0,0.0,0.0,0.0,0.0,-0.3141601,-0.3141601,-0.3141601,-0.3141601,-0.15239898377843986
1.2,0.0,0.0,0.5335986,0.0,0.0,-0.79516274,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.2175302642260455
1.3,0.0,0.0,0.45011017,0.0,0.0,-0.87400156,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.3023788281453941
1.4,0.0,0.0,0.35929525,0.0,0.0,-0.9419509,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.41050257797282086
1.5,0.0,0.0,0.26209798,0.0,0.0,-1.0019931,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.5444993844016546
1.6,0.0,0.0,0.15797766,0.0,0.0,-1.0784676,0.0,-0.0,0.0,0.0,0.0,0.0,-0.8054171,-0.8054171,-0.8054171,-0.8054171,-0.7090016285867959
1.7,0.0,0.0,0.046132565,0.0,0.0,-1.150239,0.0,-0.0,0.0,0.0,0.0,0.0,-0.11009538,-0.11009538,-0.11009538,-0.11009538,-0.9098630844221134
1.8,0.0011927814,-0.000502918,0.01594138,0.018640617,-0.007921941,0.052939456,0.012686284,0.029609052,0.00017360394,-0.12263757,-0.3105182,-0.00036550098,-0.6247946,-0.6247946,-0.6247946,-0.6247946,-0.9683730440535439
1.9,0.004043267,-0.0017310714,0.017204162,0.033031244,-0.014491135,-0.028604344,0.00045358372,-0.0013561717,-3.5667395e-05,-0.121986926,-0.30886608,-0.00036352928,-1.0,-1.0,-1.0,-1.0,-0.9659070043312329
2.0,0.0060521094,-0.0025804034,0.01353234,-0.002037103,0.0010318785,0.005267295,-0.00461053,0.00026225336,8.070899e-05,-0.041109677,-0.16993803,0.0012519967,-0.7470759,-0.7470759,-0.7470759,-0.7470759,-0.9731617315342002
2.1,0.0060516573,-0.0026106176,0.013511109,8.5901564e-07,1.1383879e-06,0.0004848479,-5.1164375e-06,2.1900496e-06,0.000496923,-1.0420559e-05,4.752231e-05,2.0324393e-07,0.3609892,0.3609892,0.3609892,0.3609892,-0.9732037696187307
2.2,0.006051629,-0.0026104564,0.01351441,8.002093e-07,4.72437e-06,-0.0043530306,-1.1536081e-05,4.9683954e-06,0.0004967374,-0.00014319555,5.8241712e-05,-2.431162e-06,-1.0,-1.0,-1.0,-1.0,-0.973197256419933
